phrase,translation,comment,source,idiom
arthritis,ართრიტი,,,
cancer,სიმსივნე (კიბო),,,
tumor,სიმსივნური წარმონაქმნი,,,
obesity,სიმსუქნე,,,
call sb. into a meeting,დაიბარო ვინმე შეხვედრაზე,,,
venerate an icon,ემთხვიო ხატს,,,
fly into rage,რისხვაში ჩავარდე,,,
sure,რა თქმა უნდა,,,
of course,რა თქმა უნდა,,,
certainly,რა თქმა უნდა,,,
get through sth.," გაიარო, გადალახო (კრიზისი)",,,
routine,"რუტინა, რუტინული",,,
turn sth. over,გადაატრიალო რამე.,,,
raise your standards,აწიო შენი სტანდარტები,,,
go undetected,შეუმჩნევლად დარჩე,,,
This cancer went undetected for 5 years.,ეს სიმსივნე შეუმჩნეველი დარჩა 5 წელი.,,,
make a breakthrough,გარღვევა მოახდინო,,,
eternally grateful,სამარადჟამოდ მადლიერი,,,
upper/lower lip,ზედა/ქვედა ტუჩი,,,
get cancer from sth.,დაგემართოს სიმსივნე რაღაცისგან,,,
Is your sleep normal?,კარგად გძინავს?,,,
ulcer,წყლული,,,
to beat around the bush,მიედ-მოედო საუბრისას (იდიომი),,,1
to bite off more than you can chew,"გააკეთო ბევრი რაღაც ერთდოულად, რასაც ვერ მოერევი (იდიომი)",,,1
blessing in disguise,"ის, რაც თავიდან ცუდი ჩანს, მაგრამ შემდეგ აღმოჩნდება კარგი (იდიომი)",,,1
to give sb. the benefit of the doubt,"როცა ბოლომდე არ გჯერა ვინმესი, მაგრამ მაინც ენდობი (იდიომი)",,,1
to kill two birds with one stone,ერთი გასროლით ორი კურდღელი მოკლა (იდიომი),,,1
to let the cat out of the bag,გაამჟღავნო საიდუმლო შემთხვევით (იდიომი),,,1
to miss the boat,ხელიდან გაუშვა შანსი (იდიომი),,,1
take it with a grain/pinch of salt,ბოლომდე არ გჯეროდეს რაღაცის (იდიომი),,,1
to be up in the air,"იყოს გაურკვეველი, არ არის გადაწყვეტილი (იდიომი)",,,1
too stab sb. in the back,უღალატო ვინმეს (იდიომი),,,1
to lose your touch,"დაკარგო უნარები, დაგავიწყდეს (იდიომი)",,,1
to lose touch with sb.,დაკარგო კონტაქტი ვინმესთან (იდიომი),,,1
to sit tight,მოიცადო მოთმინებით (იდიომი),,,1
to face the music,მიიღო შენი ქმედებების შედეგი (იდიომი),,,1
to get over sth/sb.,როცა დროის გასვლასთან ერთად მწუხარება გიქრება (გადალახვა) (იდიომი),,,1
crunch time,"სიტუაცია, როცა გიწევს მაგრად მუშაობა და რთული გადაწყვეტილებების მიღება (იდიომი)",,,1
